step,seg,elapsed_s,x,y,z,vx,vy,vz,on_floor,fwd,back,left,right,jump,brake,oob,reward,done,outcome,goal_d
176,0,276.94,1.39,-2.12,0.59,-0.57,-1.83,1.44,0,0.73,0.00,0.57,0.00,1,0,0,-0.12,0,,38.3
177,0,276.90,1.36,-2.18,0.63,-0.63,-1.75,0.78,0,0.00,0.43,0.00,0.83,0,0,0,-0.12,0,,38.3
178,0,276.88,1.35,-2.23,0.64,-0.56,-1.81,0.18,0,0.00,0.20,0.89,0.00,1,0,0,-0.12,0,,38.3
179,0,276.84,1.33,-2.29,0.64,-0.71,-1.81,-0.48,1,0.48,0.00,0.74,0.00,0,0,0,-0.02,0,,38.3
180,0,276.81,1.30,-2.35,0.61,-0.79,-1.74,-1.14,0,0.44,0.00,0.00,0.76,0,0,0,-0.12,0,,38.3
181,0,276.78,1.28,-2.40,0.57,-0.77,-0.85,0.84,0,0.00,0.25,0.86,0.00,0,0,0,-0.12,0,,38.3
182,0,276.75,1.25,-2.43,0.58,-0.91,-0.86,0.18,0,0.30,0.00,0.76,0.00,1,0,0,-0.12,0,,38.3
183,0,276.71,1.22,-2.46,0.58,-0.93,-0.79,-0.48,1,0.69,0.00,0.00,0.73,0,1,0,-0.02,0,,38.3
184,0,276.68,1.19,-2.48,0.57,-1.03,-0.71,0.07,0,0.00,0.91,0.12,0.00,1,0,0,-0.12,0,,38.3
185,0,276.65,1.16,-2.51,0.67,-1.02,-0.80,7.16,1,0.36,0.00,0.00,0.79,0,0,0,-0.02,0,,38.3
186,0,276.62,1.12,-2.53,0.90,-0.90,-0.74,6.50,0,0.00,0.25,0.89,0.00,0,0,0,-0.12,0,,38.3
187,0,276.59,1.10,-2.55,1.08,-1.01,-0.77,5.90,0,0.92,0.00,0.00,0.05,0,0,0,-0.12,0,,38.3
188,0,276.55,1.06,-2.58,1.27,-1.01,-0.65,5.24,0,0.81,0.00,0.00,0.29,0,0,0,-0.12,0,,38.3
189,0,276.52,1.03,-2.60,1.43,-0.97,-0.53,4.58,0,0.85,0.00,0.00,0.25,0,0,0,-0.12,0,,38.3
190,0,276.49,1.00,-2.61,1.55,-0.90,-0.43,3.98,0,0.48,0.00,0.00,0.88,0,1,0,-0.12,0,,38.3
191,0,276.46,0.97,-2.62,1.67,-0.81,-0.38,3.32,0,0.00,0.34,0.84,0.00,1,0,0,-0.12,0,,38.3
192,0,276.43,0.95,-2.64,1.77,-0.87,-0.48,2.66,0,0.00,0.85,0.00,0.27,0,0,0,-0.12,0,,38.3
