tick,x,y,z,vx,vy,vz,gem_dist,gem_dx,gem_dy,dx,dy,throttle,jump,brake
853,-32.729,24.036,21.525,7.115,-1.341,5.298,21.534,19.529,-9.036,0.516,0.366,0.950,0.000,0.000
857,-32.253,23.956,21.829,7.323,-1.143,3.978,21.083,19.053,-8.955,-0.063,-0.920,0.954,0.000,0.000
861,-31.788,23.881,22.038,7.363,-1.323,2.718,20.644,18.588,-8.881,0.832,-1.042,0.951,1.000,0.000
865,-31.322,23.788,22.168,7.478,-1.582,1.458,20.194,18.122,-8.788,0.746,-0.181,0.965,1.000,0.000
869,-30.820,23.678,22.219,7.748,-1.717,0.138,19.700,17.620,-8.678,1.466,-0.330,0.961,0.000,0.000
873,-30.322,23.567,22.186,8.043,-1.796,-1.122,19.203,17.122,-8.567,0.677,1.498,0.969,1.000,0.000
877,-29.809,23.457,22.073,8.212,-1.621,-2.382,18.689,16.609,-8.458,-0.186,0.874,0.966,0.000,0.000
881,-29.266,23.361,21.870,8.195,-1.318,-3.702,18.149,16.066,-8.361,0.258,0.142,0.958,1.000,0.000
885,-28.771,23.288,21.609,8.343,-1.142,-4.902,17.663,15.571,-8.289,0.558,0.857,0.962,1.000,0.000
889,-28.213,23.220,21.239,8.541,-0.927,-6.222,17.125,15.013,-8.220,0.018,0.590,0.958,1.000,0.000
893,-27.646,23.169,20.782,8.594,-0.638,-7.542,16.596,14.446,-8.169,0.716,0.339,0.955,0.000,0.000
897,-27.100,23.135,20.265,8.777,-0.469,-8.802,16.112,13.900,-8.135,-0.267,1.078,0.958,0.000,0.000
901,-26.545,23.112,19.669,8.793,-0.238,-10.062,15.651,13.345,-8.112,-1.036,-0.169,0.951,0.000,0.000
905,-25.971,23.101,18.959,8.542,-0.189,-11.382,15.223,12.771,-8.101,-0.837,0.172,0.965,0.000,0.000
